SA2_Key,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA2_Date
7996c255c9c448f8fa68c32af86b8aec,199999499,19499,No usual address (NSW),19999,No usual address (NSW),2024-07-09
82d6c2cf0385e54f447b645a82555591,109011172,11172,Albury - East,10901,Albury,2024-07-09
56d07617d67f658d11c4e4167994ebbc,109011176,11176,Lavington,10901,Albury,2024-07-09
18edb804dce5243651173e90739722c9,109011173,11173,Albury - North,10901,Albury,2024-07-09
ba88528fdfb6da18839d1c9ca2c9e4f8,109011174,11174,Albury - South,10901,Albury,2024-07-09
bedb2ae35b7309acceba4f8b62cc63af,109011175,11175,Albury Region,10901,Albury,2024-07-09
ecad66b3a4dc09ae5c5ecbd6a5f2d811,110011186,11186,Armidale,11001,Armidale,2024-07-09
d8872a656157adf6cd336c08138786c8,110011187,11187,Armidale Region - North,11001,Armidale,2024-07-09
714bac4019b6dfd61d9c743593b4d9f9,110011188,11188,Armidale Region - South,11001,Armidale,2024-07-09
69dcd91d12e10003d442508b339c2daa,108021156,11156,Kempsey Region,10802,Kempsey - Nambucca,2024-07-09
d63ad66ebc87362908d5a1093e4ba50d,120031393,11393,Croydon Park - Enfield,12003,Strathfield - Burwood - Ashfield,2024-07-09
c6d536973cf8d28e3a872b43d08e3c82,120031391,11391,Burwood - Croydon,12003,Strathfield - Burwood - Ashfield,2024-07-09
c17132b1f8e02d717fef985a08017481,120031390,11390,Ashfield,12003,Strathfield - Burwood - Ashfield,2024-07-09
a8477fd8e5fd66b11df45bf7af0af35e,120031395,11395,Haberfield - Summer Hill,12003,Strathfield - Burwood - Ashfield,2024-07-09
f4575324afb4245721c9e09cba799b39,103041079,11079,Orange Region,10304,Orange,2024-07-09
f0526ea836f52d8e9c38f9ff2e62f9e6,125011473,11473,Homebush Bay - Silverwater,12501,Auburn,2024-07-09
c149b2e35f4e94da586878f66a337c6c,125011586,11586,Lidcombe,12501,Auburn,2024-07-09
fa56f28047e68b9fb8ee3d4f32b512a8,125011583,11583,Auburn - North,12501,Auburn,2024-07-09
9f8bfd770b1733a6ba35b564681d828f,125011585,11585,Berala,12501,Auburn,2024-07-09
d285a3508bcb9ced99e58bfd8cde4dc5,125011587,11587,Regents Park,12501,Auburn,2024-07-09
b3d6ff672ff0e5517a774f687fa20645,125011584,11584,Auburn - South,12501,Auburn,2024-07-09
17563ae56881ff628d9c53be65f241a1,125011582,11582,Auburn - Central,12501,Auburn,2024-07-09
8d4b233d30ced9cb3b1d415a0b013dd7,125011475,11475,Rookwood Cemetery,12501,Auburn,2024-07-09
0d95c080b276060452fa0c30fe834da9,112011236,11236,Ballina,11201,Richmond Valley - Coastal,2024-07-09
3e9a99535d48a6aa9ae4c6d2a4794d04,112011237,11237,Ballina Region,11201,Richmond Valley - Coastal,2024-07-09
5996884fc3dfe378c8cb5b711703a34b,112011242,11242,Lennox Head - Skennars Head,11201,Richmond Valley - Coastal,2024-07-09
9a475e6d6bc521449f76f07911eb8776,112021249,11249,Lismore Region,11202,Richmond Valley - Hinterland,2024-07-09
25fb90bf101b391e69bfeff68089835d,109021179,11179,Wentworth-Balranald Region,10902,Lower Murray,2024-07-09
be5eb40c1d5720630a621716f9791746,121021578,11578,Hornsby - West,12102,Hornsby,2024-07-09
c3d74ddd5604409985def1fe4b41a3e1,119011572,11572,Bankstown - South,11901,Bankstown,2024-07-09
1e7202278c96cb87b76c3537be7bd184,119011571,11571,Bankstown - North,11901,Bankstown,2024-07-09
995d5bc3088613af5bd85eb005fa5e34,119021366,11366,Punchbowl,11902,Canterbury,2024-07-09
4a64293ebcc9cb449ef3fbb681379ca4,119011357,11357,Greenacre - Mount Lewis,11901,Bankstown,2024-07-09
f8dc9b681d1c5b7b8d5a1caeead6d2b4,119011361,11361,Yagoona - Birrong,11901,Bankstown,2024-07-09
488242e9ae66cea40de7c9be1beededa,119011355,11355,Chullora,11901,Bankstown,2024-07-09
fd0c554ea16faf7c0453dc2f8fbdeb78,108041162,11162,Laurieton - Bonny Hills,10804,Port Macquarie,2024-07-09
748f6619eff3df6109b27af162d84fe8,119011356,11356,Condell Park,11901,Bankstown,2024-07-09
07077ae65615c4699be78f948b7a8a20,119011354,11354,Bass Hill - Georges Hall,11901,Bankstown,2024-07-09
44dea7d5799da3e3594ae34392ca0380,125031479,11479,Chester Hill - Sefton,12503,Merrylands - Guildford,2024-07-09
c9a2248bbf0bd64a2b016d4d48b5548e,119011359,11359,Panania - Milperra - Picnic Point,11901,Bankstown,2024-07-09
c8e947cb884964ad35f9501ed34b1b53,119011360,11360,Revesby,11901,Bankstown,2024-07-09
6e46f5effde03ae5826966b9a4ec6d92,119011358,11358,Padstow,11901,Bankstown,2024-07-09
f26ad6562fa21f352d559bcd464c74ae,103011058,11058,Bathurst,10301,Bathurst,2024-07-09
e50c31360b79a5404066c8019bfb8b2b,103011059,11059,Bathurst - East,10301,Bathurst,2024-07-09
0e61947ec6ece33ea728f172372ce1c9,103011060,11060,Bathurst Region,10301,Bathurst,2024-07-09
c95bc6b6587a0c665104c0be36bb2b95,103031071,11071,Lithgow Region,10303,Lithgow - Mudgee,2024-07-09
67a61d8b64b91fe577640f78573d25e7,103031074,11074,Mudgee Region - West,10303,Lithgow - Mudgee,2024-07-09
19b198d043a9099b8cd3b27b1da7e59c,115011291,11291,Baulkham Hills (West) - Bella Vista,11501,Baulkham Hills,2024-07-09
573ae6ea93895e8b18108775635f0d54,116011307,11307,Lalor Park - Kings Langley,11601,Blacktown,2024-07-09
cc97176d5e6e7e55b4004ae33ffe0f50,115011290,11290,Baulkham Hills (East),11501,Baulkham Hills,2024-07-09
33eb91cd374c4f5cf696a0ba8264725c,115011553,11553,Castle Hill - Central,11501,Baulkham Hills,2024-07-09
3bf2ed00af0a6edbf543e14c76dc209f,115011555,11555,Castle Hill - North,11501,Baulkham Hills,2024-07-09
c250c59fe2dae97791ba56b3801dc31b,115011556,11556,Castle Hill - South,11501,Baulkham Hills,2024-07-09
9f3ae8b566f760d50d537b316b5ae8bf,115011557,11557,Castle Hill - West,11501,Baulkham Hills,2024-07-09
e02bc879d31956a2d1ca1dd4db8da510,115011559,11559,Kellyville,11501,Baulkham Hills,2024-07-09
5013e3a8ae06dbc9772862ebd387cad9,115011296,11296,West Pennant Hills,11501,Baulkham Hills,2024-07-09
ceb402a962020cfc5e56ac7ce395a529,125041494,11494,Winston Hills,12504,Parramatta,2024-07-09
01ebd56fc6a1a33f088b90ba0388161c,115011294,11294,Glenhaven,11501,Baulkham Hills,2024-07-09
77a083788851a7475ee85411e8b1dcd0,115041302,11302,Rouse Hill - Beaumont Hills,11504,Rouse Hill - McGraths Hill,2024-07-09
2a1ce90114461df3512d5d7724a204aa,115021297,11297,Dural - Kenthurst - Wisemans Ferry,11502,Dural - Wisemans Ferry,2024-07-09
d307e1b2943055e592c4ce3780bf5de9,115041301,11301,Pitt Town - McGraths Hill,11504,Rouse Hill - McGraths Hill,2024-07-09
f265ca301efcf4409d10d08f8c1031d2,125041490,11490,North Rocks,12504,Parramatta,2024-07-09
9b8d67d701edeb9dc15ef4767a2757cc,125021478,11478,Oatlands - Dundas Valley,12502,Carlingford,2024-07-09
193a67b33086bc9e1e4ec0e8b5c62a0e,125021476,11476,Carlingford,12502,Carlingford,2024-07-09
2e85b93141de396b45d94ba837f53f45,125041491,11491,Northmead,12504,Parramatta,2024-07-09
35ed12512f65600a738c5eb05b283681,125041489,11489,North Parramatta,12504,Parramatta,2024-07-09
d0f02aaf0ba407342367be44946318b8,101041020,11020,Bega-Eden Hinterland,10104,South Coast,2024-07-09
c3e4f60e82fe70fc0f12c58a96a21127,101041027,11027,Narooma - Bermagui,10104,South Coast,2024-07-09
c5337947e6307812594b51d8a5841ddc,101041022,11022,Deua - Wadbilliga,10104,South Coast,2024-07-09
86dd8e16720b242fe6b5ee907958b394,101041019,11019,Bega - Tathra,10104,South Coast,2024-07-09
cb952ea2fd93466f74a9c520a0c4e0b4,101041025,11025,Merimbula - Tura Beach,10104,South Coast,2024-07-09
955563ec9c66fbcc904a9cb58a05c151,101041023,11023,Eden,10104,South Coast,2024-07-09
0434cb79cafaae3f5b28719bca5440a8,101031015,11015,Cooma Region,10103,Snowy Mountains,2024-07-09
51e3ffdde5d25dc72dcdf2e1bda5fb4d,101031013,11013,Bombala,10103,Snowy Mountains,2024-07-09
3368f344d85ad55be0ab7543584eed6b,104021083,11083,Bellingen,10402,Coffs Harbour,2024-07-09
c0a277072ce3495587a78df114f1a742,104021090,11090,Urunga,10402,Coffs Harbour,2024-07-09
8b45d89f4661e122f50d0b159bdede7e,104021087,11087,Dorrigo,10402,Coffs Harbour,2024-07-09
2878417eea2238a1070c02514fa1b9c7,108021159,11159,Nambucca Heads Region,10802,Kempsey - Nambucca,2024-07-09
bed9f34a81db6b477618610c4ab7be70,109031185,11185,Tocumwal - Finley - Jerilderie,10903,Upper Murray exc. Albury,2024-07-09
7457d36162bb20e222bc1f7e9fd85f3c,116031314,11314,Glendenning - Dean Park,11603,Mount Druitt,2024-07-09
95f916dac91f02c403d51869f58267af,116021312,11312,Riverstone - Marsden Park,11602,Blacktown - North,2024-07-09
97f7f6327758a25158bbc0a91201a1be,116011304,11304,Blacktown (North) - Marayong,11601,Blacktown,2024-07-09
d42d59cbfd4e6d31f0a1e067f925f45d,116021563,11563,Quakers Hill,11602,Blacktown - North,2024-07-09
ab5aa11ac6409f38f8e7c6f24ff5e252,116011303,11303,Blacktown (East) - Kings Park,11601,Blacktown,2024-07-09
b3876a61a705db8a05a41dbeef38504a,116021309,11309,Glenwood,11602,Blacktown - North,2024-07-09
eeca083e14d5335ad3a61f9447df9f64,116021562,11562,Acacia Gardens,11602,Blacktown - North,2024-07-09
2574145951cedbe3a5c52a52015bf661,116021310,11310,Parklea - Kellyville Ridge,11602,Blacktown - North,2024-07-09
0c17e7b72d87cb8e0f7523c0c12e2b1f,107041144,11144,Balgownie - Fairy Meadow,10704,Wollongong,2024-07-09
cf98669e3e9e95bbc971bda9b2548e7f,107041145,11145,Corrimal - Tarrawanna - Bellambi,10704,Wollongong,2024-07-09
4e3e21c2738642049f05c30fbb39a9c4,107041548,11548,Wollongong - East,10704,Wollongong,2024-07-09
3bd049796bdf72364ca7b1cdabeaf0b7,107041146,11146,Figtree - Keiraville,10704,Wollongong,2024-07-09
1eddca12adab6ea3ca24472660def3a5,107041549,11549,Wollongong - West,10704,Wollongong,2024-07-09
338e740713135bfc5663e5f825b6a654,107011133,11133,Port Kembla Industrial,10701,Dapto - Port Kembla,2024-07-09
908ac6888d2ca5217e7f2a16ee077ed5,116011306,11306,Doonside - Woodcroft,11601,Blacktown,2024-07-09
6993d1e4a5129f1142595ff9e37aef1c,116011561,11561,Blacktown (West),11601,Blacktown,2024-07-09
e2e8776f9bbcf10dba8c5413e0c2b1fa,116011560,11560,Blacktown (South),11601,Blacktown,2024-07-09
254252d0cb1d27c248c12723f31a5658,116011308,11308,Seven Hills - Toongabbie,11601,Blacktown,2024-07-09
06931fcafec0a634098f476c876f28fb,116031318,11318,Prospect Reservoir,11603,Mount Druitt,2024-07-09
3a82998d59fbea1c1d796de42a269ae3,116031316,11316,Lethbridge Park - Tregear,11603,Mount Druitt,2024-07-09
390ef93e4e72a3fbf1e9a1f8e8d5ae03,116031317,11317,Mount Druitt - Whalan,11603,Mount Druitt,2024-07-09
11aff79a650c957128667392062ed6ae,116031313,11313,Bidwill - Hebersham - Emerton,11603,Mount Druitt,2024-07-09
20aa1068ea6186bb50fa07d6fbd09b58,116031319,11319,Rooty Hill - Minchinbury,11603,Mount Druitt,2024-07-09
a2a4694830fe558fde5e5ff1937f6911,116031315,11315,Hassall Grove - Plumpton,11603,Mount Druitt,2024-07-09
7d592e8d331d1aa2130b23380341f794,103021069,11069,West Wyalong,10302,Lachlan Valley,2024-07-09
a442e7cb51f47122b51df64b161c4ab2,113011257,11257,Griffith Region,11301,Griffith - Murrumbidgee (West),2024-07-09
b801f9d582ce79854ebf704e0f58060c,103041076,11076,Blayney,10304,Orange,2024-07-09
4126eacd62fcd0675000690fadc5006c,124011449,11449,Blackheath - Megalong Valley,12401,Blue Mountains,2024-07-09
2dc8ebc8f598c57c9d03db96964f4f74,124011452,11452,Katoomba - Leura,12401,Blue Mountains,2024-07-09
0bb114cc9be98e6eff96ab100724e501,124011451,11451,Blue Mountains - North,12401,Blue Mountains,2024-07-09
89f413ff1143b59d5662e16c404e6b46,124011455,11455,Wentworth Falls,12401,Blue Mountains,2024-07-09
c2c8f331e7f66c271324094103be5bec,124011453,11453,Lawson - Hazelbrook - Linden,12401,Blue Mountains,2024-07-09
de8fa421dfc985c0d9c015e8a76f5c6d,124011454,11454,Springwood - Winmalee,12401,Blue Mountains,2024-07-09
93b78151b11817e4b92e5b12d7b58ebd,124011450,11450,Blaxland - Warrimoo - Lapstone,12401,Blue Mountains,2024-07-09
0da60cd553ed2406d4ac71d146c2f4b4,103031075,11075,Wollangambe - Wollemi,10303,Lithgow - Mudgee,2024-07-09
4aab8720a7115de5d8e422fa1496df7f,115031299,11299,Bilpin - Colo - St Albans,11503,Hawkesbury,2024-07-09
bb37ce94af36485900641d51cca94339,124021456,11456,Blue Mountains - South,12402,Blue Mountains - South,2024-07-09
e5ec0a7b95158b163fc96a3aa0a006ef,105011095,11095,Nyngan - Warren,10501,Bourke - Cobar - Coonamble,2024-07-09
9312c8edd1d80a1ffb54944e6f0e526c,105011092,11092,Bourke - Brewarrina,10501,Bourke - Cobar - Coonamble,2024-07-09
0a49fcb2ef31785bd0f10b7ef957b624,105011093,11093,Cobar,10501,Bourke - Cobar - Coonamble,2024-07-09
f84fb4e4bebac1ee1f1fe4abb7be286f,101061544,11544,Young Region,10106,Young - Yass,2024-07-09
1f2303fc7f353fbf196280ad4cd7e516,101061542,11542,Yass Region,10106,Young - Yass,2024-07-09
3dd0e1dfb4445017596276ff74f64450,117011325,11325,Sydney Airport,11701,Botany,2024-07-09
87065d0badb47cfff1d73b60718bcba2,117011322,11322,Mascot - Eastlakes,11701,Botany,2024-07-09
bdf7dfd6e8228afbfe657917548ddbeb,117011321,11321,Botany,11701,Botany,2024-07-09
9d7030fd357945c408cdba45ddc79d36,117011323,11323,Pagewood - Hillsdale - Daceyville,11701,Botany,2024-07-09
d7c667fa314450fa65e3f2ac21255c4d,117011320,11320,Banksmeadow,11701,Botany,2024-07-09
13e59e258102ba1823dffe4f7f4bc722,105011096,11096,Walgett - Lightning Ridge,10501,Bourke - Cobar - Coonamble,2024-07-09
2c6b755079bf3c983a832f71d1dbc8d0,105021097,11097,Broken Hill,10502,Broken Hill and Far West,2024-07-09
598b3689e3c9d1ff47520ddf92200131,120031575,11575,Strathfield,12003,Strathfield - Burwood - Ashfield,2024-07-09
55e9d8be1e5210026ea2ef4bb51a75e9,112011243,11243,Mullumbimby,11201,Richmond Valley - Coastal,2024-07-09
ee459b81e633d7b6694ad21c52fabfce,112011238,11238,Bangalow,11201,Richmond Valley - Coastal,2024-07-09
8589cad99cc3d0d5adbd84522e28db7f,112011239,11239,Brunswick Heads - Ocean Shores,11201,Richmond Valley - Coastal,2024-07-09
4ef8e972488bd5b7e66fff11548d6a01,112011240,11240,Byron Bay,11201,Richmond Valley - Coastal,2024-07-09
73d5fd1b3c3d88f8d39123ba441c3a09,103041078,11078,Orange - North,10304,Orange,2024-07-09
a592efbc4b1803d64058b683949021ef,103021065,11065,Forbes,10302,Lachlan Valley,2024-07-09
357c1d0e13081148112342f0cfc9941c,105031106,11106,Wellington,10503,Dubbo,2024-07-09
e878e126e724453752e69ca6fba01dd0,103021064,11064,Cowra Region,10302,Lachlan Valley,2024-07-09
f3f2df458c57fd4d7643fd84625bcdf6,105031103,11103,Dubbo Region,10503,Dubbo,2024-07-09
06998e307c349cdace02b503f1953a10,103021068,11068,Parkes Region,10302,Lachlan Valley,2024-07-09
5eaa527ce0bc952c17530207337459c3,123011433,11433,Camden - Ellis Lane,12301,Camden,2024-07-09
1ca869b5600baa8bc05830edad14a3c8,123011434,11434,Elderslie - Harrington Park,12301,Camden,2024-07-09
a06a40b9b9dbf7cf4ec0cef2ae4814b3,123011435,11435,Mount Annan - Currans Hill,12301,Camden,2024-07-09
db247e350618f7c23442afd0f091bfc1,127011506,11506,Cobbitty - Leppington,12701,Bringelly - Green Valley,2024-07-09
